Date,Event,Fatalities,Route,Location,Aircraft Type,Passengers,Registration,Aircraft,Crew,Responsible Group,People on Board,Crash Cause,Total Fatalities,Accident Cause,Survivors,Flight Number,Weather,Probable Cause,Airline,Flight Route,Total Passengers,Crew Members,Ground Casualties,Total Crew,Establishment Date,Contributing Factors,,Cause,Accident Description,Possible Causes,Total Fatalties,Crash Location,Crew Deaths,Aircraft Registration,Main Cause,Engine Type,Notable Individuals,Capacity,Aircraft Information,Description,Departure Airport,Destination Airport,Destination,Outcome,Responsible Party,Operations,Name,Cause of Crash,Injuries,Formation Date,--------------------,Serious Injuries,Minor/No Injuries,Operational History,Other Details,-------,Aeroservicios Ecuatorianos Flight 767-103,Modernization Era,Peak Status,Post-1992 Status,Operation Enduring Freedom Status,2021 Status,Fall of Kabul Status,Flight Crew,Manufacturer Serial Number,Maintenance Details,Passenger Details,Responsible Group/Cause,Crew Fatalities,Passenger Fatalities,Development,Wing Position,Characteristics,Alliance Air Flight 7412,Boeing 737-2A8 (VT-EGD),Operator,Total People on Board,Crew Involved,Additional Context,Crew members,------------------------,Cameroon Airlines 3701,Departure,Ground Fatalities,Initial Engine Issue,Reason for Crash,Occupants,Smoke Detection,Wreckage Location,Flight Recorder Recovery,Founded by,First Aircraft Delivered,Battle Significance,Main Commander,Flydubai Flight 981,Additional Information:,"- Flydubai Flight 981 was a scheduled international passenger flight from Dubai to Rostov-on-Don that tragically ended in a crash during a go-around procedure, resulting in the loss of all 62 passengers and crew on board.","- The airline, Flydubai, had an excellent safety record prior to this incident and had recently become a member of the IATA organization.","- The pilots raised concerns about fatigue-related issues within the airline's rostering system, indicating potential factors affecting flight safety.",Founding Date,Founder,Headquarters,Acquired by,Fleet,Notable Awards,Merger Date,Reestablishment Date,Current Status,Minister of Defense,"This table provides a snapshot of the Nicosia Britannia disaster, showcasing essential details such as the date, location, aircraft type, number of passengers and crew, fatalities, survivors, and the contributing factors leading to the crash. These details offer a concise overview of the tragic event's key aspects.",Notes,Engine,Produced,Variant,Paratroopers,Cargo Capacity,Rear Loading Ramp/Door,Defensive Tail Gun Turret,Chinese Version,Production Year,Personnel Count,Highest Rank Held,-----------------------------------,Crash Causes,Potential Causes,LaMia Flight 2933,----------------,2933,LOT Polish Airlines Flight 5055,Alleged Cause,Possible Cause of Crash,Accident Causes,Location of Disappearance,Pakistan International Airlines Flight 268,Crew Member,------------------,Captain,First Officer,Flight Engineer 1,Flight Engineer 2,Pakistan International Airlines Flight 8303,Engine Failures,Rescued,Note,Total Lockheed C-130 Hercules Production Hulls Lost,US C-130 Losses during Vietnam War,Royal Air Force Accident Rate (1967-2005),US Air Force Hercules Overall Attrition Rate,Lineage of Russian Air Force,Commander,Sequence of Events,Investigation,Singapore Airlines Flight 006,-----------------------,Captain Foong Chee Kong,First Officer Latiff Cyrano,Relief Pilot Ng Kheng Leng,Key Causes,Responsible Crew Members,Southern Airways Flight 932,Possible Contributing Factors,Casualties,Investigating Authority,TAME Flight 120,Weather Conditions,Responsible Pilots,Crash Factors,TWA Flight 128,Crew Role,-------------------,Hours of Flight,"Pilot error, misjudgment of altitude",Origin,Fatalities (Passengers),Fatalities (Crew),Responsible Factors,Flight 352,Yekaterinburg - Vladivostok,Vnukovo Airlines 2801,"Since there is no specific responsible group mentioned in the text provided, this information has been excluded from the final table.",Initial Aircraft,Training Partnership,Initial Acquisition of Aircraft,Major Arms Deal,Aircraft Provided by Donations,Conflicts Faced by Air Force,Sole Survivor,trigger
12 October 1967,Cyprus Airways Flight 284,,London Heathrow to Nicosia,,,59,G-ARCO,de Havilland Comet 4B,7,,,,66,Bomb detonation in the cabin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cyprus Airways Flight 284
25 April 1980,Dan-Air Flight 1008,146,Manchester to Tenerife,,,146,,Boeing 727-46,"Captain: Arthur John Whelan, First Officer: Michael John Firth, Flight Engineer: Raymond John Carey",,,,,"Wrong execution of an unpublished holding pattern in an area of very high ground, resulting in crash and fatalities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dan-Air Flight 1008
3 June 2012,,159,"Abuja to Lagos, Nigeria",,,153,,McDonnell Douglas MD-83,Pilots,Nigerian Accident Investigation Bureau,,"Engine fuel line severed, lack of emergency declaration, pilot error leading to crash into buildings",,,,0992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dana Air Flight 992
"August 2, 1985",Delta Air Lines Flight 191,,"Fort Lauderdale, Florida - Dallas/Fort Worth International Airport - Los Angeles",,Lockheed L-1011 TriStar,137,,,11,,,,137,"Decision to fly through a thunderstorm, lack of procedures/training to avoid microbursts, lack of hazard information on wind shear",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delta Air Lines Flight 191
"July 31, 1973",Delta Air Lines 723,,"Burlington - Manchester - Boston, United States",,Douglas DC-9,89,N975NE,,"Captain John Streil, First Officer Sidney Burrill",,,,,,0,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delta Air Lines Flight 723
4 May 2002,EAS Airlines Flight 4226,"66 passengers, 7 crew, 30 civilians",,"Gwammaja, Kano, Nigeria",BAC One-Eleven 525FT,,Unknown,,"Captain Inneh Peter, First Officer C.E Adegboye, Flight Engineers Emmanuel Idoko and Muhammad Sarki","Nigerian Civil Aviation Authority, EAS Industries","69 passengers, 8 crew","Pilot error; engine failure leading to crash following take-off. Many civilian casualties due to residential crash site, including destruction of local school and mosques.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAS Airlines Flight 4226
"September 11, 1974",Eastern Air Lines 212,72,Charleston Municipal Airport - Charlotte - Chicago O'Hare,"Charlotte Douglas International Airport, North Carolina",McDonnell Douglas DC-9,,N8984E,,"Captain James E. Reeves, First Officer James M. Daniels Jr.",,82,Controlled flight into terrain due to multiple crew errors during instrument approach in dense ground fog,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Air Lines Flight 212
"February 25, 1964",Eastern Air Lines Flight 304,58,New Orleans to Washington Dulles,,,51,,Douglas DC-8,7,,,Degradation of aircraft stability characteristics in turbulence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Air Lines Flight 304
"October 4, 1960",Eastern Air Lines Flight 375,62,,"Logan International Airport, Boston, Massachusetts",Lockheed L-188 Electra,,N5533,,,N/A,72,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Air Lines Flight 375
"December 29, 1972",Eastern Air Lines Flight 401,101,New York JFK to Miami,Florida Everglades,,,,Lockheed L-1011-1 TriStar,,Eastern Air Lines,,"Failure to notice autopilot disconnection due to burnt-out landing gear light, resulting in loss of altitude and crash",,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Air Lines Flight 401
"May 30, 1947",Eastern Air Lines Flight 605,53,,,,49,,DC-4,4,,,Loss of control leading to fatal dive,,,,,,,,Newark to Miami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Air Lines Flight 605
"June 24, 1975",Eastern Air Lines 66,113,,"New Orleans, LA - New York City, NY",Boeing 727,,N8845E,,,N/A,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Air Lines Flight 66
"February 8, 1965",Eastern Air Lines 663,,Boston - JFK - Richmond - Charlotte - Greenville - Atlanta,Jones Beach State Park,,79,,Douglas DC-7,5,,,,84,,,,,Spatial disorientation and loss of control due to evasive maneuvers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Air Lines Flight 663
23 November 1985,EgyptAir Flight 648,60,,"Athens Ellinikon International Airport, Greece",Boeing 737-200,,SU-AYH,,,Abu Nidal,100,,,,,,,,,Athens to Cairo,,,,,,,,,,,,,,,,,,,,,,,,"Hijacked by terrorists, resulting in numerous deaths",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EgyptAir Flight 648
19 May 2016,EgyptAir Flight 804,,,,,56,,Airbus A320,7,,,,66,,,,,Cockpit fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Mediterranean Sea,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EgyptAir Flight 804
25 December 1976,EgyptAir Flight 864,71,Rome - Cairo - Bombay - Bangkok - Tokyo,,,44,SU-AXA,Boeing 707-366C,9,,,Crashed into an industrial complex in Bangkok; 71 fatalities including passengers and crew,,,,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EgyptAir Flight 864
"October 31, 1999",EgyptAir Flight 990,,,"Atlantic Ocean, south of Nantucket Island",Boeing 767-300ER,217,,,-,"Egyptian Civil Aviation Agency, National Transportation Safety Board, Federal Bureau of Investigation",,,217,Probable cause: airplane's departure from normal cruise flight due to relief first officer's flight control inputs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EgyptAir Flight 990
16 July 2005,2005 Equatorial Express Airlines An-24 crash,60,Malabo International Airport to Bata,,Antonov An-24,54,3C-VQR,,6,,,Overloading of the aircraft exceeding maximum capacity leading to the fatal crash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equatorial Express Airlines (3C-VQR)
,Ethiopian Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haile Selassie,Potez 25-A2,Battle of Anchem,Colonel John Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethiopian Air Force
10 March 2019,Ethiopian Airlines 302,,"Addis Ababa, Ethiopia - Nairobi, Kenya",,,,ET-AVJ,Boeing 737 MAX 8,,N/A,,"Inaccurate calculation of landing weight, delayed go-around, loss of control of auto-throttle",157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethiopian Airlines Flight 302
25 January 2010,Ethiopian Airlines Flight 409,90,Beirut to Addis Ababa,,,82,ET-ANB,Boeing 737-8AS,8,Ethiopian Airlines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethiopian Airlines Flight 409
23 November 1996,Ethiopian Airlines 961,,Addis Ababa–Nairobi–Brazzaville–Lagos–Abidjan,,,,ET-AIZ,Boeing 767-200ER,,,,,125,,,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,Three Hijackers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethiopian Airlines Flight 961
22 August 1981,Far Eastern Air Transport Flight 103,110,Taiwan Taipei Songshan Airport to Kaohsiung International Airport,,Boeing 737-222,,,,,,110,"Severe corrosion leading to a pressure-hull rupture, causing an explosive decompression and disintegration of the aircraft in midair",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Far Eastern Air Transport Flight 103
"February 29, 1996",Faucett Perú Flight 251,123,Lima-Arequipa-Tacna,"Rodríguez Ballón International Airport, Peru",Boeing 737-222,,OB-1451,,,n/a,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faucett Flight 251
3 January 2004,Flash Airlines 604,,Sharm El Sheikh to Red Sea,,Boeing 737-300,135,,,13,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flash Airlines Flight 604
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aborted landing attempts, poor weather conditions, rapid descent during go-around procedure resulting in a crash onto the runway",Additional Information:,"- Flydubai Flight 981 was a scheduled international passenger flight from Dubai to Rostov-on-Don that tragically ended in a crash during a go-around procedure, resulting in the loss of all 62 passengers and crew on board.","- The airline, Flydubai, had an excellent safety record prior to this incident and had recently become a member of the IATA organization.","- The pilots raised concerns about fatigue-related issues within the airline's rostering system, indicating potential factors affecting flight safety.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flydubai Flight 981
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cargo airline within the U.S., chartering passenger aircraft, military charter operations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 June 1945,Robert William Prescott,"Los Angeles International Airport, Westchester, Los Angeles, California",Federal Express in 1988,"Budd Conestoga freighters, Lockheed Super Constellation, Douglas DC-4, DC-6","First commercial air cargo route in the U.S., cargo route award to Japan, China, and Southeast Asia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flying Tiger Line (N228SW)
"March 16, 1962",Flight 739,,"Travis AFB, California - Saigon, Vietnam",,Lockheed L-1049H,93,N6921C,,11,Unknown,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flying Tiger Line Flight 739
21 December 1923,Dixmude Explosion,52,,Off the coast of Sicily,Zeppelin L 72/Dixmude,,,,,N/A,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French airship Dixmude
"January 21, 1985",Galaxy Airlines Flight 203,70,"Reno, Nevada to Minneapolis, Minnesota",Reno-Cannon International Airport,Lockheed L-188 Electra,,N5532,,,,71,,,"Captain's failure to control and copilot's failure to monitor leading to loss of control, vibration caused by ground handlers' oversight of air start access door",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galaxy Airlines Flight 203
"September 26, 1997",Garuda Indonesia Flight 152,234,,,,222,,Airbus A300B4 FFCC,12,,,"Insufficient crew training, potential confusion between aircraft models, pilot error",,,,,,,,"Jakarta to Medan, Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garuda Indonesia Flight 152
,Georgian Air Force,,,,,,,,,,,,,,,,,,,,,,,,"January 1, 1992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"August 18, 1998",2016,Modernization ongoing,Irakli Garibashvili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Georgian Air Force
24 March 2015,Germanwings Flight 9525,150,"Barcelona–El Prat Airport, Spain to Düsseldorf Airport, Germany",,,144,,Airbus A320-211,6,,,,,"Deliberate crash by co-pilot, Andreas Lubitz, due to mental health issues leading to the loss of all passengers and crew",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germanwings Flight 9525
20 April 1967,,126,,"3.5 kilometers south of Nicosia Airport, Cyprus",,126,,Bristol Britannia,Unknown,,,,,,4,,,,,,,,,,,"Exceeding authorized duty time, less experienced first officer, bad weather, crash in thunderstorm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This table provides a snapshot of the Nicosia Britannia disaster, showcasing essential details such as the date, location, aircraft type, number of passengers and crew, fatalities, survivors, and the contributing factors leading to the crash. These details offer a concise overview of the tragic event's key aspects.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Globe Air (HB-ITB)
"August 23, 2000",Gulf Air Flight 072,143,,"Persian Gulf, Bahrain",Airbus A320-212,,,,,Gulf Air,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gulf Air Flight 072
23 September 1983,Gulf Air Flight 771,112,"Karachi, Pakistan - Abu Dhabi, UAE","Jebel Ali, between Abu Dhabi and Dubai, UAE",,107,,Boeing 737-2P6,5,Abu Nidal Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gulf Air Flight 771
"August 14, 2005",Helios Airways 522,121,"Larnaca, Cyprus - Athens, Greece - Prague, Czech Republic",,,121,5B-DBY,Boeing 737-300,6,Loss of Cabin Pressurization caused pilot incapacitation leading to autopilot crash,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Helios Airways Flight 522
8 July 2011,Hewa Bora Airways Flight 952,74,"Kinshasa to Kisangani, Democratic Republic of the Congo",,,112,,Boeing 727-022,,,,"Discontinued approach, thunderstorms, poor visibility, no official instrument approach procedure, terrain impact",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hewa Bora Airways Flight 952
7 January 1972,Iberia Flight 602,104,Valencia to Ibiza,"Near Ibiza Town, Spain",Sud Aviation SE 210 Caravelle,,Not specified,,"Captain José Luis Ballester Sepúlveda, First Officer Jesús Montesinos Sánchez, Flight Engineer Vicente Rodríguez Mesa",,104,"Descent below safe altitude, distracted conversation between crew and controller",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iberia Airlines Flight 602
19 February 1985,Iberia Flight 610,148,,"Mount Oiz, Biscay, Spain",Boeing 727-200,,EC-DDU,,,N/A,"141 passengers, 7 crew",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iberia Airlines Flight 610
15 November 1978,Loftleiðir Icelandic Airlines Flight 001 Crash,183,,"Colombo, Sri Lanka",Douglas DC-8,,TF-FLA,,,Sri Lankan authorities,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Icelandic Airlines Flight 001
